Repositório                         , Owner                 , Nome                     , Estrelas, Linguagem Primária, Data Criação        , Idade (dias), Data Último Push    , Dias desde Último Push, PRs Aceitas, Releases, Total Issues, Issues Fechadas, % Issues Fechadas, LOC Java, Comments Java, Blank Java, CBO_Mean          , CBO_Median, DIT_Mean          , DIT_Median, LCOM_Mean            , LCOM_Median
Snailclimb/JavaGuide                , Snailclimb            , JavaGuide                ,   154500, Java              , 2018-05-07T13:27:00Z,         2880, 2026-03-26T15:53:57Z,                      0,        1221,        0,         1134,            1068,             94.18,      291,            29,         66, 2.3333333333333335,        0.0, 1.0               ,        1.0,   14.333333333333334 ,         0.0
krahets/hello-algo                  , krahets               , hello-algo               ,   124107, Java              , 2022-11-04T11:08:34Z,         1239, 2026-03-27T08:59:41Z,                      0,         968,       10,          283,             274,             96.82,    16642,          6320,       3218, 1.8744186046511628,        2.0, 1.0               ,        1.0,    4.706976744186046 ,         1.0
GrowingGit/GitHub-Chinese-Top-Charts, GrowingGit            , GitHub-Chinese-Top-Charts,   107123, Java              , 2019-09-05T03:01:56Z,         2395, 2024-10-12T06:51:36Z,                    531,           0,        0,          346,             163,             47.11,        5,             1,          1, 0.0               ,        0.0, 1.0               ,        1.0,    0.0               ,         0.0
iluwatar/java-design-patterns       , iluwatar              , java-design-patterns     ,    93842, Java              , 2014-08-09T16:45:18Z,         4247, 2026-03-20T21:23:33Z,                      6,        1520,        0,          980,             840,             85.71,    50310,         59251,      12026, 3.362311557788945 ,        3.0, 1.1959798994974875,        1.0,    1.8276381909547739,         0.0
macrozheng/mall                     , macrozheng            , mall                     ,    83245, Java              , 2018-04-04T01:11:44Z,         2914, 2026-03-06T07:30:02Z,                     21,           1,        3,          500,             490,             98.00,    65769,          3050,      16824, 3.9342105263157894,        3.0, 1.2394736842105263,        1.0, 1110.803947368421    ,        13.0
spring-projects/spring-boot         , spring-projects       , spring-boot              ,    80313, Java              , 2012-10-19T15:02:57Z,         4906, 2026-03-27T10:45:18Z,                      0,          66,      345,        41730,           41263,             98.88,   503706,        222814,     126630, 5.496013217441276 ,        4.0, 1.2886286904676387,        1.0,   12.499820415200057 ,         0.0
doocs/advanced-java                 , doocs                 , advanced-java            ,    78921, Java              , 2018-10-06T11:38:30Z,         2729, 2026-01-21T23:54:19Z,                     64,          89,        1,          149,             148,             99.33,        5,             3,          0, 0.0               ,        0.0, 1.0               ,        1.0,    0.0               ,         0.0
MisterBooo/LeetCodeAnimation        , MisterBooo            , LeetCodeAnimation        ,    76702, Java              , 2018-12-06T08:01:22Z,         2668, 2023-08-14T12:14:01Z,                    956,          63,        0,           61,              43,             70.49,      265,            16,         22, 1.0               ,        1.0, 1.0               ,        1.0,    0.0               ,         0.0
elastic/elasticsearch               , elastic               , elasticsearch            ,    76406, Java              , 2010-02-08T13:20:56Z,         5890, 2026-03-27T15:33:46Z,                      0,       88251,      238,        43456,           38967,             89.67,  4208247,        567034,     640236,                   ,           ,                   ,           ,                      ,          
NationalSecurityAgency/ghidra       , NationalSecurityAgency, ghidra                   ,    66228, Java              , 2019-03-01T03:27:48Z,         2583, 2026-03-27T13:51:50Z,                      0,         557,       52,         5892,            4357,             73.95,  2017373,        720552,     415680, 7.204128729073134 ,        5.0, 1.856123861872194 ,        1.0,  126.21847858012     ,         1.0
